Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Variance
day0_rep1,-5271.933387641106,5763.3371086308125,-5169.523256673708,-5267.171497080588,-5273.621847236051,-5273.023105092245,-5273.621847235787,-5273.621847239076,-5273.621847237388,-5211.344541454364,-5273.6218472366545,-4286.096546822812,-5148.604834349281,-5184.191564316953,-5268.076888828477,-4627.134245901557,-5273.6218472371165,-5268.380314329728,-5271.168537502111,-3120.9771026500352,0.9535268587456227
day0_rep2,-127.77539417473541,-481.9587078873063,-122.77767609977336,-125.76116941938945,-128.21028048184087,-127.31469100477462,-128.21028048117336,-128.21028048077122,-128.21028048133246,-120.81927207109302,-128.2102804823173,26.939402885068894,-129.27819419034677,-130.95264666946144,-130.61208407763027,-121.55831963427707,-128.21028048195765,-127.34490867589848,-128.10317898920206,-99.08164994163886,0.9796299864246054
day0_rep3,224.08835227572715,486.3699387995362,216.93323013641938,226.24816233777457,224.42426177195486,224.20668491463795,224.42426177043563,224.42426177270764,224.42426177326303,222.88702051430295,224.424261771828,262.0311470215327,230.4090036678354,232.27828085047395,225.02314600889974,259.6308394235063,224.42426177214503,223.5591977841821,224.26309313804455,198.87904232124347,0.9916906452890113
day1_rep1,28.811012318172562,421.2579992415438,31.410464490384435,30.19460383948997,28.9565977961179,28.84637987389969,28.956597797459164,28.956597794731714,28.956597794836803,39.583471776727826,28.956597796040835,52.28501155965437,28.920675243193806,38.66382072474335,28.466126136907445,-23.224058524853902,28.956597795796412,28.588669647180595,28.12735482835495,67.06854306354755,0.9960676710952164
day1_rep2,23.140035881895532,-440.0074270757254,15.507685695031912,24.430362700199705,24.01679154423927,23.726819458257722,24.016791543500396,24.016791546720974,24.016791546291394,12.237918753255355,24.016791544086505,-50.98893010378654,7.615975843508,14.425788423001828,23.20239526479401,27.92744554052889,24.01679154480114,22.323015360149917,22.674055384723825,-117.50063240215555,0.997924161719813
day1_rep3,49.50854085201928,-302.5008510865015,43.319599435690314,55.69550036832193,50.19077928806081,49.677888843369054,50.190779287518396,50.19077928863736,50.19077928851228,48.21488397426621,50.190779288371075,36.285879586915826,56.62447110677572,53.58754254681245,47.90031570854821,-14.507580073675973,50.19077928851247,52.6618699007413,50.7218028489231,30.46674248882616,0.9988168015720471
day2_rep1,34.39907766826934,-16.564417235858897,41.32560650164482,35.680210289479454,34.40244176010603,33.70162159999844,34.40244176084294,34.4024417614097,34.402441760448376,32.127434304028604,34.40244176038944,-4.004822178219079,31.876743118913566,35.809655831646694,36.63091877718384,92.799049213009,34.402441760553444,34.44643540868807,35.07787223673023,88.58679097532337,0.9994051797016215
day2_rep2,29.689232027118756,180.52298023049656,30.253940400542383,29.38822842658878,29.802061753852584,30.02656188109941,29.802061753028955,29.802061754889202,29.802061754721638,29.352497997010037,29.802061753739117,-3.762102156773039,40.15607068944451,32.42595295120172,29.643301604213658,16.40031347791384,29.802061754014808,28.299181439653644,28.241247828072503,57.254597395070775,0.9996886677071878
day2_rep3,15.059199525775037,-198.58340657584733,19.779883618842362,16.226337716143934,15.292673918002702,15.295602654147668,15.292673917970484,15.292673918751435,15.292673918201068,12.182907729910443,15.292673917858545,0.14880686958872236,12.585337444910802,15.958202625424889,16.023006613458353,9.74316146404793,15.292673918027594,18.195933704085704,15.335029627439596,5.433237931460239,0.9998483961864532
day4_rep1,-0.6511678159166489,123.95932201888424,-1.6168280216591429,1.6726095683752173,0.15852010186969576,-0.35552476730263916,0.15852010105942166,0.15852010240087516,0.15852010214028842,-5.603019064508529,0.15852010167416292,26.951297792044134,-10.983624691670821,11.325982203193078,-0.17196244102927258,40.09097319381705,0.15852010180680523,-0.19799490054353303,2.9100751170725485,-28.34612445923238,0.9998976518278283
day4_rep2,1.941130534933822,-49.32798099354475,-8.440492623625325,3.657441567196544,2.940821210741011,2.799434166940289,2.9408212096045347,2.9408212108106273,2.9408212109091583,2.401458219178824,2.9408212106675204,-23.457989010620356,6.219005965426706,8.314217078163512,0.9700434066929887,23.60818434938023,2.9408212106881857,1.7963922952438085,1.7109380015676434,-68.23507601059696,0.9999169342930929
day4_rep3,0.783981914009923,245.13963727128694,-2.287349779551945,1.7740878668679783,1.1194016864968084,1.4297467304507403,1.1194016866018863,1.1194016863473981,1.119401686681529,2.9199122490067615,1.1194016864257113,-20.519023341931433,9.019169056453414,-0.2225395152991947,1.0416033325747187,-1.2748011255651852,1.1194016863910827,2.5515288692900744,0.8956090317575361,5.859361805036757,0.9999335055404776
day5_rep1,5.524317058725497,-19.907099625152703,8.327744931110209,7.528904458364948,6.958563501259067,7.017240823069609,6.958563501143709,6.958563500792564,6.958563500744294,8.112042326566067,6.9585635010147495,-14.309944155709344,9.28233368355593,-1.991614931066785,6.990414004372617,2.581589903001647,6.958563500967445,8.878608641697623,6.614136183013699,-39.753847079438714,0.9999494405273447
day5_rep2,-7.595896026884278,-69.19205586131055,-13.256336799640085,-5.602083855193533,-6.396930083036685,-7.576216990145541,-6.396930082331926,-6.396930081081826,-6.396930081930298,-11.124393815482987,-6.396930082332674,-20.89687165702003,-1.1187760916448697,-3.9539298633822684,-7.371104439305218,21.839694770299374,-6.396930082103648,-7.390245190231912,-6.6710613503240985,23.778072230950617,0.9999622363200065
day11_rep1,2.2042349796580245,8.122293860587463,5.570204393386355,0.42959056374077875,1.8412214144264858,2.119083373888047,1.8412214148470494,1.8412214147496506,1.841221414896211,-1.4618041112303992,1.8412214149759516,29.612347491790956,7.844773404324109,1.9963159389613996,-0.2118834011208939,10.520434785905174,1.8412214149446555,4.5927677389376305,2.230919131816544,-53.139309176269116,0.9999727939453532
day11_rep2,-1.797022256079127,45.73428967166001,-6.020013730329379,-1.7473644662293926,-1.7075570951828845,-1.6179038880417336,-1.707557093175461,-1.7075570942247502,-1.7075570943679972,1.9845333496927815,-1.7075570943312872,18.287411565632954,-0.7832000760482895,-2.5099162297727107,-1.7400747159720444,-23.064017360431063,-1.7075570942983642,-2.93834834213741,-1.2160953262196224,-28.918784613141945,0.9999801323322941
day11_rep3,-0.8314082514962653,-108.39269749926473,5.034144785983057,-0.4854181553026551,-0.8968125570638048,-0.8351339414664914,-0.896812556643901,-0.8968125565276416,-0.8968125567743371,4.030652050467108,-0.8968125566098646,7.59743784447474,14.458635802579554,0.9940511662636432,-1.3217535093138277,-13.06866185366566,-0.8968125565841645,-3.252172284650456,-0.6371500503815464,-37.22022265557628,0.9999865876895889
day18_rep1,1.8942803351599113,97.93883425282839,-2.776092990624131,-0.1487481616948918,1.8181593776363123,1.8272894578847,1.8181593779243717,1.8181593782392167,1.8181593781168017,-2.450023029919644,1.8181593780334675,-1.0338550988909716,-3.242561036499532,1.69506928012909,1.5856521168847915,-3.4075775632600758,1.818159378066388,-0.06898433799208822,2.684430590136109,32.377446511570426,0.9999918740561534
day18_rep2,0.45823639611518796,35.94568852734598,-2.713849586383237,0.9155762288060392,0.5445070810837078,0.5814940076697257,0.5445070813335884,0.5445070808410587,0.5445070809786343,1.0174154542265124,0.5445070810179582,15.767670148771327,2.930802463439055,1.3729936348671627,1.4208648164875868,-3.7650753575104883,0.5445070809844078,0.0685597830388238,1.247285855541881,-29.847992690545883,0.9999962602357678
day18_rep3,-2.742175485743881,29.41557240402584,-0.5944921969021586,-4.659561821095776,-2.4178554001444326,-2.5792051388615724,-2.4178553994852474,-2.4178553996988827,-2.4178553997949304,-2.9200989542612925,-2.417855399894821,-6.420026809609973,0.7353905128240747,2.224312290005052,-2.9500068041387553,-8.506404154797425,-2.417855399854988,-5.183107828369418,-1.3023115338552647,14.291149374939806,0.9999999999999999
